YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,7,10,24.4300,25.6300,25.4600,0.0333,0.0000,0.0000,0
1985,7,11,24.2700,25.6700,25.1200,-0.1407,0.0000,0.0000,0
1985,7,12,24.7200,25.7600,25.3000,0.0760,0.0000,0.0000,0
1985,7,13,24.7300,25.7800,25.6500,0.2720,0.0000,0.0000,0
1985,7,14,24.3300,25.7400,25.5000,0.2007,0.0000,0.0000,0
1985,7,15,24.0700,25.5600,25.3500,0.0700,0.0000,0.0000,0
1985,7,16,23.6400,24.9500,24.6500,-0.6384,0.0000,0.0000,0
1985,7,17,23.6400,24.7700,24.1600,-1.0032,0.0000,0.0000,0
1985,7,18,23.6300,24.7000,24.1900,-0.9219,0.0000,0.0000,0
1985,7,19,23.8100,24.8400,24.4700,-0.5052,0.0000,0.0000,0
1985,7,20,23.8400,24.8400,24.4300,-0.6232,0.0000,0.0000,0
1985,7,21,23.9900,24.8700,24.5300,-0.5258,0.0000,0.0000,0
1985,7,22,24.0000,24.8100,24.4700,-0.4790,0.0000,0.0000,0
1985,7,23,23.7000,25.0900,24.4600,-0.6803,0.0000,0.0000,0
1985,7,24,23.7700,25.6700,25.0500,-0.1945,0.0000,0.0000,0
1985,7,25,23.8000,25.8100,25.1700,-0.0661,0.0000,0.0000,0
1985,7,26,24.0400,25.9900,25.2300,-0.0006,0.0000,0.0000,0
1985,7,27,23.8500,25.5500,24.7400,-0.5116,0.0000,0.0000,0
1985,7,28,23.8300,25.4700,25.1800,-0.3003,0.0000,0.0000,0
1985,7,29,24.0000,25.5500,24.8400,-0.4381,0.0000,0.0000,0
1985,7,30,24.0500,25.6400,24.8400,-0.3597,0.0000,0.0000,0
1985,7,31,23.7500,25.4900,24.7800,-0.4455,0.0000,0.0000,0
1985,8,1,23.7400,25.3900,24.6000,-0.5564,0.0000,0.0000,0
1985,8,2,23.5300,25.2400,24.8000,-0.5465,0.0000,0.0000,0
1985,8,3,23.5800,25.2900,24.6100,-0.4884,0.0000,0.0000,0
1985,8,4,23.4800,25.3500,24.7500,-0.4023,0.0000,0.0000,0
1985,8,5,23.0100,25.0000,24.4100,-0.6871,0.0000,0.0000,0
1985,8,6,22.6500,24.8800,24.3300,-0.8555,0.0000,0.0000,0
1985,8,7,22.7600,24.8900,24.2200,-0.8423,0.0000,0.0000,0
1985,8,8,23.1500,25.0100,24.3700,-0.6910,0.0000,0.0000,0
1985,8,9,23.1100,25.0800,24.4600,-0.6103,0.0000,0.0000,0
1985,8,10,23.3100,25.1200,24.6400,-0.5371,0.0000,0.0000,0
1985,8,11,24.0500,25.4700,24.9600,0.0352,0.0000,0.0000,0
1985,8,12,23.9900,25.2800,24.7200,-0.2171,0.0000,0.0000,0
1985,8,13,23.9800,25.0800,24.4900,-0.4381,0.0000,0.0000,0
1985,8,14,23.7400,24.9500,24.3600,-0.5790,0.0000,0.0000,0
1985,8,15,23.8000,24.9400,24.8100,-0.1700,0.0000,0.0000,0
1985,8,16,23.9400,24.9900,24.9200,-0.0461,0.0000,0.0000,0
1985,8,17,24.0700,25.0700,24.9800,-0.0210,0.0000,0.0000,0
1985,8,18,24.5400,25.6400,25.1100,0.0210,0.0000,0.0000,0
1985,8,19,24.4200,25.4300,24.8900,-0.1474,0.0000,0.0000,0
1985,8,20,24.1200,25.2200,24.6500,-0.4484,0.0000,0.0000,0
1985,8,21,23.4100,24.9400,24.5100,-0.6161,0.0000,0.0000,0
1985,8,22,23.6400,25.0100,24.6500,-0.4487,0.0000,0.0000,0
1985,8,23,23.4600,24.7900,24.3600,-0.7123,0.0000,0.0000,0
1985,8,24,23.2900,24.6600,24.0900,-0.9884,0.0000,0.0000,0
1985,8,25,23.2400,24.6100,23.9400,-1.1439,0.0000,0.0000,0
1985,8,26,23.3500,24.6200,23.9100,-1.1665,0.0000,0.0000,0
1985,8,27,23.3800,24.4300,23.8600,-1.2000,0.0000,0.0000,0
1985,8,28,23.4400,24.4300,24.0300,-1.1032,0.0000,0.0000,0
1985,8,29,23.3300,24.4000,23.7200,-1.3245,0.0000,0.0000,0
1985,8,30,23.5600,24.5300,23.9500,-1.1603,0.0000,0.0000,0
1985,8,31,23.9100,24.9000,24.2600,-0.8390,0.0000,0.0000,0
1985,9,1,24.2700,25.4600,25.4100,0.0423,0.0000,0.0000,0
1985,9,2,24.0500,25.5400,25.2800,-0.1455,0.0000,0.0000,0
1985,9,3,23.9400,26.1000,25.6200,0.1916,0.0000,0.0000,0
